orderID,customerID,customerFirstName,customerLastName,productID,productName,qty,totalPrice,dateofOrder,status,address
,9f71f85b-2c36-4433-a664-5d1219ca81ca,Phillip,Chapelhow,62e54916f032398e92000ba6,auctor,2,238,2021-08-29 08:19:14,Delivered,809 Hayes Lane
,60e9bc37-0168-4085-a976-b2f2fa43df00,Minda,Harse,62e54916f032398f30000bc9,vel,3,2241,2022-04-09 23:32:30,Pending,4 Schlimgen Trail
,35d30df1-d63e-4a03-ad36-921c75150b4f,Ally,McDermid,62e54916f032398ea4000bbf,lectus,3,858,2022-01-10 13:21:53,Pre-Shipment,32 Oak Valley Trail
,5b54d8a2-00c7-4da3-aeb6-e8620e5b8891,Feliks,Emerson,62e54916f032398f34000bc0,sapien,7,5194,2021-08-28 13:42:54,Delivered,07234 Hauk Drive
,304a4bb4-17b0-4bc3-b879-f6afbc86e960,Lanny,Grundey,62e54916f032398f07000bd0,dictumst,3,2697,2021-09-16 18:14:44,Delivered,81 Delaware Avenue
,1ed196b1-e607-42c4-a963-b5ed337829b7,Nonie,Safell,62e54916f032398ec9000b91,purus eu,2,1568,2022-05-26 21:31:48,Pre-Shipment,095 Toban Street
,6c121b51-fc49-4b4f-894c-9efff9761ea8,Cesare,Cartmale,62e54916f032398f07000bc1,pellentesque ultrices phasellus,9,5193,2022-01-04 09:52:08,Delivered,4 Hoard Lane
,dc9ea826-8cad-475d-bc62-acf52051af12,Reese,Buckleigh,62e54916f032398ea4000bbe,vestibulum,6,4482,2022-01-28 19:23:11,Unshipped,4969 Lawn Drive
,b39c9f9a-8d71-467a-b67c-adc628710924,Reggis,Charnley,62e54916f032398eae000b94,sapien arcu,6,3474,2021-06-06 03:47:56,Unshipped,59 Anniversary Road
,589dbf6a-231a-4c14-b230-6a77fa09d7dd,Lazarus,Cavet,62e54916f032398e92000b9c,at dolor,6,3720,2022-03-23 12:05:48,Delivered,5805 Susan Street
